Diseases,Solution
Amar Bon,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Drying of young leaves of Maize,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Maize cultivation,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Fruit fly attack on Sweet gourd,Must be select high land for seed bed preparation and make ensure proper drainage system
Mosaic of Cucumber,Must be select high land for seed bed preparation and make ensure proper drainage system
Spices cultivation,Must be select high land for seed bed preparation and make ensure proper drainage system
Mosaic of Sweet Gourd,Must be select high land for seed bed preparation and make ensure proper drainage system
Yellowing leaves of Spices plant,Weeds should be cleaned off the vegetable bed
Cauliflower culivation related problem,GI wire must be installed in vegetable trellis
Attack Of Cabbage butterfly on Cauliflower,Carbendazim group fungicide should be sprayed according to machine rate
Aphid attack on yard Long Bean,Must be select high land for seed bed preparation and make ensure proper drainage system
Catterpillar attack on Sunflower leaves,Must be select high land for seed bed preparation and make ensure proper drainage system
Lack of oxygen in fish pond,Must be select high land for seed bed preparation and make ensure proper drainage system
Insect attack on Mungbean leaves,Must be select high land for seed bed preparation and make ensure proper drainage system
Gummy Stem Blight of Cucumber,Must be select high land for seed bed preparation and make ensure proper drainage system
Leaf Curl Chilli,Must be select high land for seed bed preparation and make ensure proper drainage system
Wilt of brinjal,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
Wilt of chilli,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
Drying of young leaves of Cucumber,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
Attack Of Cabbage betterfly on Cauliflower,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
Yellowing of Cucumber Leaves,Must be select high land for seed bed preparation and make ensure proper drainage system
Cucumber cultivation Related issues,Must be select high land for seed bed preparation and make ensure proper drainage system
Vegetables cultivation,Must be select high land for seed bed preparation and make ensure proper drainage system
Fruit fly Attack on Cucumbefr,Must be select high land for seed bed preparation and make ensure proper drainage system
Leaf curling of Bitter gourd,Must be select high land for seed bed preparation and make ensure proper drainage system
Root Rot Of Sunflower,Must be select high land for seed bed preparation and make ensure proper drainage system
Fruit fly Attack on Cucumber,Must be select high land for seed bed preparation and make ensure proper drainage system
Watermelon growth not satisfactory,GI wire must be installed in vegetable trellis
Ground nut cultivation related,Yellow sticky trap and pheromone trap should installed properly
Yellow stem borer attack on Rice,The gap should be fiiled quickly by making seedling at home.
Land preparaion of Kharif 1 vegetables,The gap should be fiiled quickly by making seedling at home.
Yellowing of Mungbean Planst,Stick should be attached with seedling.
Aging of Cucumber plants,Stick should be attached with seedling and weeding should be done.
Fish culture ,It is recommended to spray Imidaclopid .
